noise_scale,epoch,train_loss,val_loss,lr,noise_condition_value_mean,mixture_noises
0.01,9,4.0046724810529115,5.064501081194196,3.26372132005331e-05,0.10000002384185791,"0.00,0.01"
0.01,10,3.9453193607615002,5.1146789618900845,2.478752220304844e-05,0.10000002384185791,"0.00,0.01"
0.01,11,3.9006282891800153,5.067072629928589,1.8232176625823584e-05,0.10000002384185791,"0.00,0.01"
0.01,12,3.772938457887564,5.081408943448748,1.3299888868839855e-05,0.10000002384185791,"0.00,0.01"
0.01,13,3.7195408024005037,5.076808520725796,1.02379844356725e-05,0.10000002384185791,"0.00,0.01"
0.01,14,3.6890530159224326,5.0633248261043,9.200000000000002e-06,0.10000002384185791,"0.00,0.01"
0.02,1,5.04034507452552,5.67678960164388,8.700714532240022e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,2,4.417160423240851,5.83451323282151,8.40783671689358e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,3,4.408581204675324,5.45157417796907,7.9360526705734e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,4,4.256719895263217,5.399665151323591,7.309019615360587e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,5,4.392635824668467,5.487413622084118,6.558179606905531e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,6,4.113957343409903,5.41862466221764,5.7211828984670065e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,7,4.019582532531587,5.330445982161022,4.840000000000001e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,8,3.769556160589949,5.332071996870495,3.9588171015329964e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,9,3.6554395167981806,5.332239968436105,3.121820393094471e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,10,3.563031204897373,5.308576651981899,2.370980384639416e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,11,3.418417508329325,5.172672839391799,1.7439473294266036e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,12,3.3368773282463873,5.228086630503337,1.2721632831064209e-05,0.20000004768371582,"0.00,0.01,0.02"
0.02,13,3.2697946088231027,5.18498732930138,9.792854677599783e-06,0.20000004768371582,"0.00,0.01,0.02"
0.02,14,3.202108828582574,5.1417769477480935,8.800000000000002e-06,0.20000004768371582,"0.00,0.01,0.02"
0.05,1,4.6922423270211295,5.828566040311541,8.107483995950929e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,2,4.240343506656476,5.87385128225599,7.834575122559926e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,3,4.2692135234377275,5.718364374978202,7.394958170307031e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,4,4.109000999536088,5.641070008277893,6.810677368858728e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,5,4.0393760666918395,5.749983617237636,6.11103099734379e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,6,3.747380002221065,5.391625182969229,5.3311022462988004e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,7,3.5265063812483604,5.499633857182094,4.5100000000000005e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,8,3.586431136771814,5.639234866414752,3.6888977537012006e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,9,3.3008406055507375,5.459694726126535,2.9089690026562113e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,10,3.187352322820407,5.468678559575762,2.209322631141274e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,11,3.082292401968543,5.538888829095023,1.6250418296929716e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,12,3.0114902168957154,5.589125343731472,1.185424877440074e-05,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,13,2.958021316955339,5.497071623802185,9.125160040490705e-06,0.40000009536743164,"0.00,0.01,0.02,0.05"
0.05,14,2.911792623462962,5.457669700895037,8.200000000000001e-06,0.40000009536743164,"0.00,0.01,0.02,0.05"
